DATE,VAUCSFRCONDOSMSAMID
2000-01-01,122978.93949412706
2000-02-01,123297.16374937627
2000-03-01,123634.55616010808
2000-04-01,124272.11560570553
2000-05-01,124887.60941479345
2000-06-01,125481.97755071749
2000-07-01,126203.47738339052
2000-08-01,127054.29692239763
2000-09-01,127984.0908425082
2000-10-01,128863.82680565781
2000-11-01,129753.0270037062
2000-12-01,130662.26425997756
2001-01-01,131577.86497182344
2001-02-01,132390.0037293309
2001-03-01,133226.79477114815
2001-04-01,134101.47432076238
2001-05-01,135068.9555816905
2001-06-01,136036.6415637988
2001-07-01,137078.57454413176
2001-08-01,138128.18770244403
2001-09-01,139210.29436854096
2001-10-01,140246.31592298907
2001-11-01,141318.55268797852
2001-12-01,142336.23583590833
2002-01-01,143291.16638611368
2002-02-01,144237.86634255465
2002-03-01,145230.9096319918
2002-04-01,146353.12735233983
2002-05-01,147508.8345595048
2002-06-01,148785.35913799304
2002-07-01,150140.0910200243
2002-08-01,151585.02663441485
2002-09-01,153029.7839236779
2002-10-01,154431.5897074802
2002-11-01,155751.40086136825
2002-12-01,156976.5152301902
2003-01-01,158052.6095313261
2003-02-01,159138.20122157535
2003-03-01,160291.12971999068
2003-04-01,161634.42360605707
2003-05-01,163113.89264214112
2003-06-01,164684.06629788058
2003-07-01,166401.265862372
2003-08-01,168176.6997174729
2003-09-01,170010.97346965794
2003-10-01,171879.08788265675
2003-11-01,173692.71066822892
2003-12-01,175437.84141991197
2004-01-01,177030.5443965301
2004-02-01,178775.62995780748
2004-03-01,180806.66836798238
2004-04-01,183238.11742408978
2004-05-01,186149.92275050367
2004-06-01,189470.87447249304
2004-07-01,193239.45778326096
2004-08-01,197203.85368029785
2004-09-01,201173.9276757977
2004-10-01,204699.8535133721
2004-11-01,207769.6476600937
2004-12-01,210720.7796648581
2005-01-01,213714.99730332973
2005-02-01,216641.8396651774
2005-03-01,219748.86553080915
2005-04-01,223285.8505583071
2005-05-01,227523.94345839715
2005-06-01,231824.7727889958
2005-07-01,236034.03879373075
2005-08-01,239832.0914523567
2005-09-01,243583.83870250374
2005-10-01,246930.09842935216
2005-11-01,250014.71464318628
2005-12-01,252562.70464540343
2006-01-01,254805.38099873855
2006-02-01,256987.65219939654
2006-03-01,259182.97541713994
2006-04-01,261179.63756735492
2006-05-01,262639.33726422116
2006-06-01,263653.97979220125
2006-07-01,264536.12051682174
2006-08-01,265118.1304124507
2006-09-01,265204.0502193919
2006-10-01,264913.87550409767
2006-11-01,264565.664954657
2006-12-01,264341.1150061563
2007-01-01,264087.5239065276
2007-02-01,263986.39011993137
2007-03-01,263920.8684043506
2007-04-01,264073.6258099912
2007-05-01,263890.4208047863
2007-06-01,263297.67471158324
2007-07-01,262180.88617272855
2007-08-01,260939.0696825583
2007-09-01,259803.23427669727
2007-10-01,258819.83205144884
2007-11-01,257847.60703561726
2007-12-01,256565.48181256067
2008-01-01,255080.90725907264
2008-02-01,253417.0214886969
2008-03-01,251459.51839306872
2008-04-01,249231.26588181057
2008-05-01,246857.75574230266
2008-06-01,244793.71129851163
2008-07-01,242687.4922712868
2008-08-01,240359.641699206
2008-09-01,237953.4766139267
2008-10-01,235918.31050656099
2008-11-01,234233.0173972142
2008-12-01,232712.2527230767
2009-01-01,231059.7822677633
2009-02-01,229463.3106503843
2009-03-01,227899.13451964792
2009-04-01,226502.78652348343
2009-05-01,225315.02634372283
2009-06-01,224226.83743281508
2009-07-01,223261.97348041867
2009-08-01,222262.61660443692
2009-09-01,221283.04333329792
2009-10-01,220400.47082971092
2009-11-01,219899.1449835037
2009-12-01,219807.81716372227
2010-01-01,220102.40029253621
2010-02-01,220450.87795169055
2010-03-01,220821.62281799546
2010-04-01,221220.61215309365
2010-05-01,221582.47166640405
